codigo,fid,id,Direccion,Nombre,Estado,Nombre2,VERIFICADO,SINNOMBRE,FUNCIONAL,icon_url
"155","155",,Ambos,No disponible ,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"157","157",,Ambos,DOMINGO GUERRERO,"3",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"158","158",,Ambos,No disponible ,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"159","159",,Ambos,JACARANDA,"2",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"160","160",,Ambos,SIN NOMBRE,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"161","161",,Ambos,BASILEA,"2",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"162","162",,Ambos,No disponible,"2",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"163","163",,Ambos,NYON,"2",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"164","164",,Ambos,No disponible ,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"165","165",,Ambos,No disponible ,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"166","166",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"167","167",,Ambos,TTE. TIBURCIO VELÁZQUEZ,"2",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"168","168",,Ambos,No disponible ,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"169","169",,Ambos,No disponible ,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"170","170",,Ambos,AV. MCAL. LÓPEZ ,"3",AVDA. CIERVO CUA,SI,FALSO,,./0.png
"171","171",,Ambos ,LINO MILLOT,"3",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"172","172",,Ambos,CURUPAY,"3",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
